"nombre_pais","region","anio","Crecimiento del PIB (% anual)","Crecimiento del PIB per cápita (% anual)","Índice de recuento de la pobreza multidimensional (Banco Mundial) (% de la población)","pbi","pbi_pc","pob"
"Sudán","África Subsahariana",2025,NA,NA,NA,NA,NA,NA
"Suriname","América Latina y el Caribe",2016,-4.91166050905851,-5.90338246401519,NA,-4.91166050905851,-5.90338246401519,NA
"Suriname","América Latina y el Caribe",2017,1.56603782534897,0.547149370341614,NA,1.56603782534897,0.547149370341614,NA
"Suriname","América Latina y el Caribe",2018,4.94827108468886,3.93294702617604,NA,4.94827108468886,3.93294702617604,NA
"Suriname","América Latina y el Caribe",2019,1.16758977233877,0.12296002295291,NA,1.16758977233877,0.12296002295291,NA
"Suriname","América Latina y el Caribe",2020,-15.9751917148622,-16.8738740468232,NA,-15.9751917148622,-16.8738740468232,NA
"Suriname","América Latina y el Caribe",2021,-2.43538583612838,-3.31629942420831,NA,-2.43538583612838,-3.31629942420831,NA
"Suriname","América Latina y el Caribe",2022,2.40622235601218,1.54051769500568,3,2.40622235601218,1.54051769500568,3
"Suriname","América Latina y el Caribe",2023,2.41659223498058,1.48474172349111,NA,2.41659223498058,1.48474172349111,NA
"Suriname","América Latina y el Caribe",2024,1.72095737011739,0.831904488689332,NA,1.72095737011739,0.831904488689332,NA
"Suriname","América Latina y el Caribe",2025,NA,NA,NA,NA,NA,NA
"Suecia","Europa y Asia Central",2016,2.13117914731151,0.855975824436371,1.4,2.13117914731151,0.855975824436371,1.4
"Suecia","Europa y Asia Central",2017,1.88282184966646,0.519214362381689,1,1.88282184966646,0.519214362381689,1
"Suecia","Europa y Asia Central",2018,1.7702553546772,0.594886136077946,1.7,1.7702553546772,0.594886136077946,1.7
"Suecia","Europa y Asia Central",2019,2.60823012869524,1.57332206499805,2.3,2.60823012869524,1.57332206499805,2.3
"Suecia","Europa y Asia Central",2020,-1.93379704032216,-2.63997048116038,2.2,-1.93379704032216,-2.63997048116038,2.2
"Suecia","Europa y Asia Central",2021,5.2258643028773,4.5957806799404,1.5,5.2258643028773,4.5957806799404,1.5
"Suecia","Europa y Asia Central",2022,1.25543620445816,0.568648782156174,2.4,1.25543620445816,0.568648782156174,2.4
"Suecia","Europa y Asia Central",2023,-0.204061304891439,-0.674701257933236,1.6,-0.204061304891439,-0.674701257933236,1.6
"Suecia","Europa y Asia Central",2024,0.820071806703865,0.504564017875396,NA,0.820071806703865,0.504564017875396,NA
"Suecia","Europa y Asia Central",2025,NA,NA,NA,NA,NA,NA
"Suiza","Europa y Asia Central",2016,2.06868969039562,0.960131696221239,0.1,2.06868969039562,0.960131696221239,0.1
"Suiza","Europa y Asia Central",2017,1.36279965488859,0.421326259922779,0,1.36279965488859,0.421326259922779,0
"Suiza","Europa y Asia Central",2018,2.86044579439036,2.10552471989985,0.1,2.86044579439036,2.10552471989985,0.1
"Suiza","Europa y Asia Central",2019,1.14198218965691,0.423089633793808,0.1,1.14198218965691,0.423089633793808,0.1
"Suiza","Europa y Asia Central",2020,-2.14173712008038,-2.85415823647342,0.1,-2.14173712008038,-2.85415823647342,0.1
"Suiza","Europa y Asia Central",2021,5.55962020605844,4.75464519304134,0.1,5.55962020605844,4.75464519304134,0.1
"Suiza","Europa y Asia Central",2022,3.04406102969423,2.1924092887961,0.3,3.04406102969423,2.1924092887961,0.3
"Suiza","Europa y Asia Central",2023,0.683328174376044,-0.582278335714477,NA,0.683328174376044,-0.582278335714477,NA
"Suiza","Europa y Asia Central",2024,1.30233332541106,-0.0110810035101565,NA,1.30233332541106,-0.0110810035101565,NA
"Suiza","Europa y Asia Central",2025,NA,NA,NA,NA,NA,NA
