nombre_pais,codigo_del_pais,region,anio,Crecimiento del PIB (% anual),PIB per cápita (US$ actuales),Crecimiento del PIB per cápita (% anual),"Inflación, precios al consumidor (% anual)","Expectativa de vida, total (años)",Mortalidad infantil (cada 1.000 nacimientos),"Gasto público en educación, total (% del PIB)",Indice de Gini,Índice de recuento de la pobreza multidimensional (Banco Mundial) (% de la población)
Bahrein,BHR,Oriente Medio y Norte de África,2023,3.8781161484556606,29290.12842150983,0.42885937985658984,0.0746206782192255,81.284,7.2,1.88778167912993,NA,NA
Bahrein,BHR,Oriente Medio y Norte de África,2024,2.6037967064845446,29653.568273153414,1.8539035986906214,0.919635459817651,81.423,7.3,NA,NA,NA
Bahrein,BHR,Oriente Medio y Norte de África,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,BGD,Asia del Sur,2016,7.113478212700926,1649.2838085860055,6.161815600147818,5.51352572692995,71.075,28.5,1.28183996677399,32.4,25.6
Bangladesh,BGD,Asia del Sur,2017,6.590249997940575,1811.0822166864587,5.687103070102651,5.70207015717238,71.606,27.3,2.11342875356648,NA,NA
Bangladesh,BGD,Asia del Sur,2018,7.319412630141358,1965.2437273146677,6.441974947024846,5.54362139486476,72.122,26.2,2.09477473545666,NA,NA
Bangladesh,BGD,Asia del Sur,2019,7.881915151177225,2129.7989695460574,6.972643997791522,5.59199639930629,72.625,25.4,1.13094997406006,NA,NA
Bangladesh,BGD,Asia del Sur,2020,3.448017551224453,2248.850788282327,2.586478165645815,5.69107474746211,71.421,24.8,2.13974351741877,NA,NA
Bangladesh,BGD,Asia del Sur,2021,6.9386791244244534,2482.849178433572,6.070694170209691,5.54565430773473,71.103,24.5,2.17090882504654,NA,NA
Bangladesh,BGD,Asia del Sur,2022,7.0998287757515754,2716.4859278043114,6.008474628872776,7.69695437176898,74.265,24.4,2.08538657806243,30.9,7.4
Bangladesh,BGD,Asia del Sur,2023,5.775112370078887,2551.017738273069,4.490704093943904,9.8835030377921,74.672,24.4,2.16213826344701,NA,NA
Bangladesh,BGD,Asia del Sur,2024,4.223259112501609,2593.4161168077444,2.964998379549172,10.4657482763412,74.93,24.4,2.0343847791384,NA,NA
Bangladesh,BGD,Asia del Sur,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,BRB,América Latina y el Caribe,2016,1.4965062252057635,20295.56720720463,1.275796936208991,1.28192813061895,76.168,11.5,4.19719982147217,34.1,0.7
Barbados,BRB,América Latina y el Caribe,2017,0.7083867293179509,20284.57620524608,0.5024199961589204,4.66018463955995,76.237,11.2,3.956209897995,NA,NA
Barbados,BRB,América Latina y el Caribe,2018,-1.2760241773002008,21381.242630320863,-1.4659381704969547,3.1060057242059,76.378,10.9,5.40447825597088,NA,NA
Barbados,BRB,América Latina y el Caribe,2019,0.22771213748657715,21912.15012428567,0.050927970591033045,1.67662473276987,76.495,10.6,3.72228002548218,NA,NA
Barbados,BRB,América Latina y el Caribe,2020,-14.36471193415639,19194.491973673936,-14.51397435859792,NA,76.647,10.2,3.86529994010925,NA,NA
Barbados,BRB,América Latina y el Caribe,2021,-0.0967779613221893,21079.614527179096,-0.25576085568350493,NA,76.58,9.9,4.49793004989624,NA,NA
Barbados,BRB,América Latina y el Caribe,2022,17.226462679337942,24387.038729376094,17.155458616124932,NA,75.676,9.6,4.14000988006592,NA,NA
Barbados,BRB,América Latina y el Caribe,2023,2.9143573596250008,25583.878782726963,2.9077961756722885,3.18718905472631,76.178,9.4,3.7754499912262,NA,NA
Barbados,BRB,América Latina y el Caribe,2024,2.482262139618598,26544.870728262063,2.434733839532967,1.44643664306159,76.332,9.1,3.55593188106322,NA,NA
Barbados,BRB,América Latina y el Caribe,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarús,BLR,Europa y Asia Central,2016,-2.526446446042499,5039.775609494454,-2.6119138156723807,11.8365807653496,73.8268292682927,2.9,4.94654989242554,25.3,NA
