"nombre_pais","region","pbi_inicial","pbi_final","pbi_pc_inicial","pbi_pc_final","pob_inicial","pob_final"
"Polonia","Europa y Asia Central",3.03117767594847,3.02841630700273,3.07547528252388,3.38947422901255,0,NA
"Portugal","Europa y Asia Central",2.00414129666575,2.13967177177636,2.32643063621838,1.02697035140542,3,1.9
"Qatar","Oriente Medio y Norte de África",3.06410503214877,2.35970586926597,-2.45109169349175,-4.86788389922177,NA,NA
"Reino Unido de Gran Bretaña e Irlanda del Norte","Europa y Asia Central",2.20652020635357,1.1264226705118,1.39799087279013,0.0541839994899789,NA,NA
"República Centroafricana","África Subsahariana",4.75031684122342,1.49999999847535,2.87598768927953,-1.89436423949913,NA,NA
"República Democrática Popular Lao","Asia Oriental y el Pacífico",7.02283625501138,4.13019264436937,5.36288912313843,2.725327025989,18.5,10.3
"República Democrática del Congo","África Subsahariana",0.393832798154563,6.12675551779212,-3.09891686152069,2.74070877266892,NA,NA
"República Dominicana","América Latina y el Caribe",6.71974078681295,4.95352204492849,5.54040978660888,4.06915239840208,4.5,1.6
"República Popular Democrática de Corea","Asia Oriental y el Pacífico",NA,NA,NA,NA,NA,NA
"República Unida de Tanzanía","África Subsahariana",6.86711619644551,5.5263138305945,3.30400665890223,2.5538482690819,58.9,NA
"República de Corea","Asia Oriental y el Pacífico",3.17152748983935,2.00361101838986,2.76290075939411,1.92783227201599,0.2,0.1
"República de Moldova","Europa y Asia Central",4.64601436259409,0.103059364371205,5.87017576429136,2.41476213011262,0.3,0.2
"República Árabe Siria","Oriente Medio y Norte de África",-6.4055907393619,0.732781301861365,-5.28022453338099,-3.00434829701605,NA,NA
"Rumanía","Europa y Asia Central",2.85993252302089,0.916003764382594,3.45169541464914,0.965042709085722,0.2,0
"Rwanda","África Subsahariana",5.97074525431094,8.89065529573114,3.48878829333981,6.58326731079626,67.2,41.4
"Saint Kitts y Nevis","América Latina y el Caribe",3.93270319273282,0.312226855858171,3.95919692482656,0.130203089601792,NA,NA
"Samoa","Asia Oriental y el Pacífico",7.9838628784713,4.74838445564714,7.07276114056432,4.09688706632852,NA,NA
"San Marino","Europa y Asia Central",2.34440586055426,0.401934896977224,1.7136618106599,0.0905880817326192,NA,NA
"San Vicente y las Granadinas","América Latina y el Caribe",4.1496810046981,4.06183490050209,4.74804540016839,4.79304780177681,NA,NA
"Santa Lucía","América Latina y el Caribe",3.42787214525211,3.89175024218898,2.9915396739198,3.62644896169468,NA,NA
"Santo Tomé y Príncipe","África Subsahariana",5.17682468684113,1.09999940100751,3.42223386315462,-0.902376020183738,37.9,NA
"Senegal","África Subsahariana",6.35606857181878,6.06055141198976,3.23503572393487,3.62766288039693,36.3,33.3
"Serbia","Europa y Asia Central",2.97519807160826,3.94992622592932,3.5158880281917,4.52924814890834,0.2,NA
"Seychelles","África Subsahariana",12.1175272453913,3.46568066415341,10.6277900412689,2.11772970143255,1,NA
"Sierra Leona","África Subsahariana",6.43743652764257,4.29322336690163,3.96056326178993,2.10273334346427,57.8,NA
"Singapur","Asia Oriental y el Pacífico",3.74757848792792,4.38802362461865,2.41021443466256,2.32663656705263,NA,NA
"Sint Maarten (Dutch part)","América Latina y el Caribe",0.96775836306881,3.00000000000014,-1.0859663357852,1.57201845444075,NA,NA
"Somalia","África Subsahariana",7.03487260042048,4.11139335779471,2.99347020739935,0.548466776307393,NA,NA
"Sri Lanka","Asia del Sur",5.05362488994436,5.00871930957159,3.86979649875681,5.58848090094126,4.2,NA
"St. Martin (French part)","América Latina y el Caribe",5,4.89999967133534,5.54794889038332,11.2897229582813,NA,NA
"Sudáfrica","África Subsahariana",0.664552307858116,0.534843531905139,-0.277781475736276,-0.713538079423742,NA,NA
"Sudán","África Subsahariana",3.46764218409288,-13.9643375197179,0.369473161527822,-14.6570236407403,NA,NA
"Sudán del Sur","África Subsahariana",NA,NA,NA,NA,87.5,NA
"Suecia","Europa y Asia Central",2.13117914731151,0.820071806703865,0.855975824436371,0.504564017875396,1.4,1.6
"Suiza","Europa y Asia Central",2.06868969039562,1.30233332541106,0.960131696221239,-0.0110810035101565,0.1,0.3
"Suriname","América Latina y el Caribe",-4.91166050905851,1.72095737011739,-5.90338246401519,0.831904488689332,NA,3
"Tailandia","Asia Oriental y el Pacífico",3.43515771692182,2.54182067735289,2.96944155296718,2.59107416696065,0.3,0.1
"Tayikistán","Europa y Asia Central",6.89999999999999,8.39999980983981,4.2256886170877,6.34141937002055,NA,NA
"Timor-Leste","Asia Oriental y el Pacífico",3.00993358093274,-9.10069369772735,1.06590529631157,-10.161913982094,NA,NA
"Togo","África Subsahariana",4.21490387414525,6.53204505563791,1.62761006802251,4.17083175833358,50.3,44.6
"Tonga","Asia Oriental y el Pacífico",6.59870436118344,2.79014366862668,7.1755196846192,3.22745653546359,NA,0.4
"Trinidad y Tabago","América Latina y el Caribe",-7.53636305379372,2.50920813979569,-7.82511237114002,2.44755276913735,NA,NA
"Turkmenistán","Europa y Asia Central",6.1999999664301,6.2994265836889,3.79096200658724,4.45469950237209,NA,NA
"Turks and Caicos Islands","América Latina y el Caribe",7.25118627570265,5.63682517443362,2.46456149346457,4.87181797375062,NA,NA
"Tuvalu","Asia Oriental y el Pacífico",5.66037735849056,3.85280919517032,5.97938856186022,5.71488075368194,NA,NA
"Túnez","Oriente Medio y Norte de África",1.117231963992,1.61444564976986,0.00849827158573646,0.979801739421518,NA,0.8
"Türkiye","Europa y Asia Central",3.32366508200445,3.3276230893799,1.9428315705164,3.09479882124933,1.3,0.2
"Ucrania","Europa y Asia Central",2.44098194492067,2.9138222142611,2.94151228987063,2.53118166051888,NA,NA
"Uganda","África Subsahariana",4.78100029254482,6.05558075875589,1.35743312909598,3.17493921238938,68.8,NA
"Uruguay","América Latina y el Caribe",1.68979822971775,3.10825478066172,1.35078037686081,3.15371074530447,0.2,0.2
"Uzbekistán","Europa y Asia Central",5.93215079993293,6.49999999997677,4.11984456589953,4.42179800265912,NA,2.3
"Vanuatu","Asia Oriental y el Pacífico",3.47154471544715,0.942185362275907,1.19513802690024,-1.32686347809192,NA,NA
"Venezuela (República Bolivariana de)","América Latina y el Caribe",-17.0403345996548,5.29999999999984,-17.557382467255,4.91191547368044,NA,NA
"Viet Nam","Asia Oriental y el Pacífico",6.69000892660424,7.09118746633975,5.35427097241221,6.4172854315141,3.5,1.9
"Virgin Islands (U.S.)","América Latina y el Caribe",1.6008537886873,-1.31123206333498,1.78607056891147,-0.883383819313323,NA,NA
"West Bank and Gaza","Oriente Medio y Norte de África",8.86461881995935,-26.5575264529877,6.44666146094556,-28.2706767006663,1.5,2
"Yemen","Oriente Medio y Norte de África",-9.37512379736752,NA,-12.0553743505045,NA,NA,NA
"Zambia","África Subsahariana",3.75510031678988,3.82004825518591,0.593979723633794,0.941472566904864,NA,72.7
"Zimbabwe","África Subsahariana",0.75579405855224,1.74239524880791,-0.633234613329265,-0.0530786093100204,48.3,NA
